札,木,5
蚬,虫,0
洱,氵,0
欵,欠,0
邸,阝,7
妾,女,8
蕁,艹,0
乇,丿,0
淆,氵,11
呋,口,0
燎,火,16
鵑,鸟,0
習,乙,0
晗,日,0
汛,氵,0
機,木,0
觞,角,0
灣,氵,0
勤,力,13
鷦,鸟,0
葫,艹,12
鯪,鱼,0
曬,日,0
良,丶,7
泰,水,0
陷,阝,10
兹,丷,9
综,纟,11
驿,马,8
蔀,艹,0
茄,艹,8
粑,米,10
窕,穴,11
戚,戈,11
钡,钅,0
瘢,疒,0
銥,钅,0
徧,彳,0
簦,竹,0
斫,斤,0
耮,耒,0
綻,纟,0
鈺,钅,0
弼,弓,0
頾,髟,0
臃,月,0
捄,攵,0
过,辶,6
闋,门,0
結,纟,0
答,竹,12
腘,月,0
噢,口,15
鍤,钅,0
屦,尸,0
饨,饣,0
婪,女,11
蛭,虫,0
執,扌,0
瑶,王,14
牺,牜,10
黽,黾,0
寿,寸,7
蚂,虫,9
誊,言,0
垌,土,0
礓,石,0
麒,鹿,0
蜗,虫,13
贛,贝,0
丝,一,5
澜,氵,15
吡,口,0
疠,疒,0
鄣,阝,0
昭,日,9
螬,虫,0
亲,立,9
樵,木,16
讴,讠,6
瀹,氵,0
總,心,0
墾,土,0
佇,亻,0
降,阝,8
协,十,6
鱑,魚,0
绒,纟,9
驕,马,0
蓖,艹,0
浛,氵,0
俜,亻,0
歟,欠,0
離,忄,0
古,口,5
姨,女,9
蕫,艹,0
柬,木,0
药,艹,9
幽,山,9
翼,羽,17
魿,魚,0
极,木,7
耄,耂,0
殉,歹,10
計,讠,0
羑,羊,0
鸐,鳥,0
禕,礻,0
莙,艹,0
些,止,8
愚,心,13
劣,力,6
缦,纟,0
暫,日,0
礪,石,0
悯,忄,10
丰,丨,4
檳,木,0
贲,贝,0
券,刀,8
鄺,阝,0
尼,尸,5
鬾,鬼,0
資,贝,0
橈,木,0
嗍,口,0
郏,阝,0
忑,心,7
髓,骨,21
揙,扌,0
艘,舟,15
淝,氵,0
燥,火,17
彦,彡,9
篩,竹,0
奪,大,0
藭,艹,0
据,扌,11
觵,角,0
鏹,钅,0
煺,火,0
签,竹,13
氇,毛,0
辆,车,11
瘋,疒,0
和,禾,8
瀏,氵,0
庐,广,7
折,扌,7
蠟,虫,0
鈣,钅,0
炤,灬,0
鰧,艹,0
窨,穴,0
蒬,艹,0
漱,氵,14
猹,犭,0
鲼,鱼,0
宾,宀,10
槊,木,0
镍,钅,0
偏,亻,11
珎,王,0
齑,齐,0
婓,女,0
緒,纟,0
饕,飠,0
湛,氵,12
臚,月,0
诞,讠,8
因,囗,6
虫,虫,6
聯,耳,0
詳,讠,0
鑷,钅,0
卹,忄,0
狸,犭,10
顿,页,10
暁,日,0
蜀,虫,13
檉,木,0
锌,钅,0
刎,刂,6
鼐,鼎,0
餔,飠,0
芙,艹,7
供,亻,8
貝,贝,0
樞,木,0
厣,厂,0
琢,王,12
嶧,山,0
枫,木,8
憯,忄,0
估,亻,7
殳,殳,0
谲,讠,0
阶,阝,6
騾,马,0
杀,木,6
韋,韦,0
响,口,9
界,田,9
量,里,12
廑,广,0
罐,缶,23
壕,土,0
拙,扌,8
泝,氵,0
赜,贝,0
靠,非,15
呢,口,8
酤,酉,0
魨,魚,0
扮,扌,7
汲,氵,6
裵,衣,0
嗷,口,0
鋹,釒,0
忻,忄,0
姿,女,9
蒂,艹,12
洇,氵,0
看,目,9
銎,金,0
徐,彳,10
鲒,鱼,0
蔗,艹,14
掘,扌,11
輛,车,0
瞠,目,16
倥,亻,0
娩,女,0
箨,竹,0
搭,扌,12
辰,辰,7
嚶,口,0
爹,父,10
鎸,钅,0
傺,亻,0
簽,竹,0
鶼,鸟,0
媾,女,0
擂,扌,16
狎,犭,0
鹑,鸟,13
孓,子,0
糒,米,0
敗,贝,0
潛,氵,0
胚,月,9
諞,讠,0
埠,土,11
铢,钅,0
凤,几,4
